date,company,role,status,resume_file,cover_letter_file,notes
2/1/2026,1Password,Vice President of Data Analytics,draft,Matt Oremland_1Password_Vice President of Data Analytics_resume.docx,yes,"VP-level, reports to CFO. Strong fit on leadership, governance, cross-functional translation, technical depth. Gaps: no Tableau/Looker/Power BI, no SaaS or cybersecurity domain experience. High comp range ($272-368k)."
2/1/2026,ActBlue,"Director of Engineering, Data Science & Engineering",draft,Matt Oremland_ActBlue_Director of Engineering Data Science  Engineering_resume.docx,yes,"Nonprofit political tech. Gaps: no 20+ person org leadership, no full production ML/AI systems at scale, no political/electoral background. Bridging: emphasize production model deployment (Paradigm), data lake and governance builds, cross-functional leadership, and mission-driven culture fit."
2/1/2026,Apogee Therapeutics,"Director, Data Engineering & Analytics",draft,Matt Oremland_Apogee Therapeutics_Director Data Engineering  Analytics_resume.docx,yes,"Clinical-stage biotech, hands-on IC role with eventual team leadership. Strong fit: pharma, Snowflake, Databricks, Python, SQL, data governance, cross-functional work. No hard requirement gaps identified."
2/1/2026,Hello Heart,"Director, Analytics",draft,Matt Oremland_Hello Heart_Director Analytics_resume.docx,yes,"Digital health company, Director-level analytics leadership. Strong fit on leadership, governance, cross-functional work, team management. Gap: no Tableau experience (have Sigma, Spotfire, Sigma). EST zone - matches."
2/1/2026,Incyte,Machine Learning Engineer,draft,Matt Oremland_Incyte_Machine Learning Engineer_resume.docx,yes,"Pharma AI/ML IC role. Strong fit: LLM-based production model (OpenAI), pharma domain, Python, scikit-learn, cross-functional collaboration. Gaps: limited AWS infrastructure experience (storage, not compute/SageMaker), deployment was handed to engineering. Bridging: emphasize model design and validation ownership, TensorFlow/PyTorch consulting history, pharma domain depth."
2/1/2026,Super.com,Director of Analytics & Data Science,draft,Matt Oremland_Supercom_Director of Analytics  Data Science_resume.docx,yes,"High-growth travel/fintech. Borderline fit - strong on Snowflake, Python, SQL, cross-functional leadership, analytics org design. Gaps: no manager-of-managers experience, no Looker/dbt. Their stack is mature (Snowflake, dbt, Amplitude) so need to emphasize adaptability to modern data stacks."
2/1/2026,Symetra,"Assistant Vice President, Data Analytics",draft,Matt Oremland_Symetra_Assistant Vice President Data Analytics_resume.docx,yes,"Life insurance company, AVP-level. Strong fit on analytics leadership, governance, predictive modeling, cross-functional partnership, team development. Gap: no insurance domain experience. Framing: regulated industry analytics leader transferring risk modeling and enterprise data transformation skills from pharma."
2/2/2026,Alimentiv,"Director, Enterprise Data",draft,Matt Oremland_Alimentiv_Director Enterprise Data_resume.docx,yes,"Reports to Chief Digital & Technology Officer. Role focused on enterprise data architecture in Azure, clinical operations data flows, BI platforms, and AI/ML enablement. Requires CRO/clinical trial operations experience which I lack. Need to emphasize pharma data architecture, platform building, cross-functional data support, and transferable skills. Gaps: no CRO experience, no clinical trial workflow expertise (CTMS, EDC, Veeva Vault Clinical), no Power BI/Tableau, no Microsoft Fabric. Strengths: pharma background, data architecture, team leadership, value-driven analytics."
2/2/2026,Amgen,Responsible AI Manager,draft,Matt Oremland_Amgen_Responsible AI Manager_resume.docx,yes,"Individual contributor role reporting to Director of Responsible AI. Focus on designing and operationalizing Responsible AI governance framework, AI inventory management, and lifecycle governance. Requires strong technical fluency with AI/ML systems, process design, regulatory knowledge (EU AI Act, NIST AI RMF, FDA/EMA), and cross-functional collaboration. Pharma/biotech/life sciences experience is a nice-to-have that I have in spades."
2/2/2026,Biogen,"Director of Advanced Analytics, Data Science & AI",draft,Matt Oremland_Biogen_Director of Advanced Analytics Data Science  AI_resume.docx,yes,"US Commercial role focused on brand/TA analytics, marketing mix optimization, channel optimization, digital analytics for pharmaceutical company. Requires 10 years advanced analytics in US commercial settings (pharma/biotech or consulting). MODERATE STRETCH: My 10+ years pharma experience is in manufacturing/quality/medical affairs, NOT commercial/marketing analytics. Commercial functions (brand analytics, marketing mix, attribution, channel optimization) are outside my experience. Strengths: 10+ years pharma, ML/AI expertise, Python/R/SQL, team leadership, stakeholder influence, predictive modeling. Need to emphasize transferable analytics leadership and pharma domain while acknowledging commercial analytics gap."
